Path;File Condition;Block Condition;Presence Condition;Line Type;start;end
src/irc/dcc/dcc-get.c;1;1;1;artifact;1;628
src/irc/dcc/dcc-get.h;1;1;1;ROOT;1;47
src/irc/dcc/dcc-get.h;1;!IRSSI_IRC_DCC_DCC_GET_H;1 && !IRSSI_IRC_DCC_DCC_GET_H;if;1;1
src/irc/dcc/dcc-get.h;1;!IRSSI_IRC_DCC_DCC_GET_H;1 && !IRSSI_IRC_DCC_DCC_GET_H;artifact;2;44
src/irc/dcc/dcc-get.h;1;!IRSSI_IRC_DCC_DCC_GET_H;1 && !IRSSI_IRC_DCC_DCC_GET_H;endif;45;45
src/irc/dcc/dcc-get.h;1;1;1;artifact;46;46
src/irc/dcc/dcc-queue.c;1;1;1;ROOT;1;229
src/irc/dcc/dcc-queue.c;1;1;1;artifact;1;228
src/irc/dcc/dcc-queue.h;1;1;1;ROOT;1;47
src/irc/dcc/dcc-queue.h;1;!IRSSI_IRC_DCC_DCC_QUEUE_H;1 && !IRSSI_IRC_DCC_DCC_QUEUE_H;if;1;1
src/irc/dcc/dcc-queue.h;1;!IRSSI_IRC_DCC_DCC_QUEUE_H;1 && !IRSSI_IRC_DCC_DCC_QUEUE_H;artifact;2;44
src/irc/dcc/dcc-queue.h;1;!IRSSI_IRC_DCC_DCC_QUEUE_H;1 && !IRSSI_IRC_DCC_DCC_QUEUE_H;endif;45;45
src/irc/dcc/dcc-queue.h;1;1;1;artifact;46;46
src/irc/dcc/dcc-rec.h;1;1;1;ROOT;1;29
src/irc/dcc/dcc-rec.h;1;1;1;artifact;1;28
src/irc/dcc/dcc-resume.c;1;1;1;ROOT;1;250
src/irc/dcc/dcc-resume.c;1;1;1;artifact;1;249
src/irc/dcc/dcc-send.c;1;1;1;ROOT;1;489
src/irc/dcc/dcc-send.c;1;1;1;artifact;1;36
src/irc/dcc/dcc-send.c;1;!GLOB_TILDE;1 && !GLOB_TILDE;if;37;37
src/irc/dcc/dcc-send.c;1;!GLOB_TILDE;1 && !GLOB_TILDE;artifact;38;38
src/irc/dcc/dcc-send.c;1;!GLOB_TILDE;1 && !GLOB_TILDE;endif;39;39
src/irc/dcc/dcc-send.c;1;1;1;artifact;40;488
src/irc/dcc/dcc-send.h;1;1;1;ROOT;1;29
src/irc/dcc/dcc-send.h;1;!IRSSI_IRC_DCC_DCC_SEND_H;1 && !IRSSI_IRC_DCC_DCC_SEND_H;if;1;1
src/irc/dcc/dcc-send.h;1;!IRSSI_IRC_DCC_DCC_SEND_H;1 && !IRSSI_IRC_DCC_DCC_SEND_H;artifact;2;26
src/irc/dcc/dcc-send.h;1;!IRSSI_IRC_DCC_DCC_SEND_H;1 && !IRSSI_IRC_DCC_DCC_SEND_H;endif;27;27
src/irc/dcc/dcc-send.h;1;1;1;artifact;28;28
src/irc/dcc/dcc-server.c;1;1;1;ROOT;1;415
src/irc/dcc/dcc-server.c;1;1;1;artifact;1;414
src/irc/dcc/dcc-server.h;1;1;1;ROOT;1;31
src/irc/dcc/dcc-server.h;1;!IRSSI_IRC_DCC_DCC_SERVER_H;1 && !IRSSI_IRC_DCC_DCC_SERVER_H;if;1;1
src/irc/dcc/dcc-server.h;1;!IRSSI_IRC_DCC_DCC_SERVER_H;1 && !IRSSI_IRC_DCC_DCC_SERVER_H;artifact;2;28
src/irc/dcc/dcc-server.h;1;!IRSSI_IRC_DCC_DCC_SERVER_H;1 && !IRSSI_IRC_DCC_DCC_SERVER_H;endif;29;29
src/irc/dcc/dcc-server.h;1;1;1;artifact;30;30
src/irc/dcc/dcc.c;1;1;1;ROOT;1;602
src/irc/dcc/dcc.c;1;1;1;artifact;1;601
src/irc/dcc/dcc.h;1;1;1;ROOT;1;69
src/irc/dcc/dcc.h;1;!IRSSI_IRC_DCC_DCC_H;1 && !IRSSI_IRC_DCC_DCC_H;if;1;1
src/irc/dcc/dcc.h;1;!IRSSI_IRC_DCC_DCC_H;1 && !IRSSI_IRC_DCC_DCC_H;artifact;2;66
src/irc/dcc/dcc.h;1;!IRSSI_IRC_DCC_DCC_H;1 && !IRSSI_IRC_DCC_DCC_H;endif;67;67
src/irc/dcc/dcc.h;1;1;1;artifact;68;68
src/irc/dcc/module.h;1;1;1;ROOT;1;6
src/irc/dcc/module.h;1;1;1;artifact;1;5
src/irc/flood/autoignore.c;1;1;1;ROOT;1;91
src/irc/flood/autoignore.c;1;1;1;artifact;1;90
src/irc/flood/autoignore.h;1;1;1;ROOT;1;11
src/irc/flood/autoignore.h;1;!IRSSI_IRC_FLOOD_AUTOIGNORE_H;1 && !IRSSI_IRC_FLOOD_AUTOIGNORE_H;if;1;1
src/irc/flood/autoignore.h;1;!IRSSI_IRC_FLOOD_AUTOIGNORE_H;1 && !IRSSI_IRC_FLOOD_AUTOIGNORE_H;artifact;2;8
src/irc/flood/autoignore.h;1;!IRSSI_IRC_FLOOD_AUTOIGNORE_H;1 && !IRSSI_IRC_FLOOD_AUTOIGNORE_H;endif;9;9
src/irc/flood/autoignore.h;1;1;1;artifact;10;10
src/irc/flood/flood.c;1;1;1;ROOT;1;351
src/irc/flood/flood.c;1;1;1;artifact;1;350
src/irc/flood/flood.h;1;1;1;ROOT;1;9
src/irc/flood/flood.h;1;!IRSSI_IRC_FLOOD_FLOOD_H;1 && !IRSSI_IRC_FLOOD_FLOOD_H;if;1;1
src/irc/flood/flood.h;1;!IRSSI_IRC_FLOOD_FLOOD_H;1 && !IRSSI_IRC_FLOOD_FLOOD_H;artifact;2;6
src/irc/flood/flood.h;1;!IRSSI_IRC_FLOOD_FLOOD_H;1 && !IRSSI_IRC_FLOOD_FLOOD_H;endif;7;7
src/irc/flood/flood.h;1;1;1;artifact;8;8
src/irc/flood/module.h;1;1;1;ROOT;1;15
src/irc/flood/module.h;1;1;1;artifact;1;14
src/irc/notifylist/module.h;1;1;1;ROOT;1;44
src/irc/notifylist/module.h;1;1;1;artifact;1;43
src/irc/notifylist/notify-commands.c;1;1;1;ROOT;1;83
src/irc/notifylist/notify-commands.c;1;1;1;artifact;1;82
src/irc/notifylist/notify-ison.c;1;1;1;ROOT;1;350
src/irc/notifylist/notify-ison.c;1;1;1;artifact;1;349
src/irc/notifylist/notify-setup.c;1;1;1;ROOT;1;81
src/irc/notifylist/notify-setup.c;1;1;1;artifact;1;80
src/irc/notifylist/notify-setup.h;1;1;1;ROOT;1;11
src/irc/notifylist/notify-setup.h;1;!IRSSI_IRC_NOTIFYLIST_NOTIFY_SETUP_H;1 && !IRSSI_IRC_NOTIFYLIST_NOTIFY_SETUP_H;if;1;1
src/irc/notifylist/notify-setup.h;1;!IRSSI_IRC_NOTIFYLIST_NOTIFY_SETUP_H;1 && !IRSSI_IRC_NOTIFYLIST_NOTIFY_SETUP_H;artifact;2;8
src/irc/notifylist/notify-setup.h;1;!IRSSI_IRC_NOTIFYLIST_NOTIFY_SETUP_H;1 && !IRSSI_IRC_NOTIFYLIST_NOTIFY_SETUP_H;endif;9;9
src/irc/notifylist/notify-setup.h;1;1;1;artifact;10;10
src/irc/notifylist/notify-whois.c;1;1;1;ROOT;1;155
src/irc/notifylist/notify-whois.c;1;1;1;artifact;1;154
src/irc/notifylist/notifylist.c;1;1;1;ROOT;1;367
src/irc/notifylist/notifylist.c;1;1;1;artifact;1;366
src/irc/notifylist/notifylist.h;1;1;1;ROOT;1;31
src/irc/notifylist/notifylist.h;1;!IRSSI_IRC_NOTIFYLIST_NOTIFYLIST_H;1 && !IRSSI_IRC_NOTIFYLIST_NOTIFYLIST_H;if;1;1
src/irc/notifylist/notifylist.h;1;!IRSSI_IRC_NOTIFYLIST_NOTIFYLIST_H;1 && !IRSSI_IRC_NOTIFYLIST_NOTIFYLIST_H;artifact;2;28
src/irc/notifylist/notifylist.h;1;!IRSSI_IRC_NOTIFYLIST_NOTIFYLIST_H;1 && !IRSSI_IRC_NOTIFYLIST_NOTIFYLIST_H;endif;29;29
src/irc/notifylist/notifylist.h;1;1;1;artifact;30;30
src/irc/proxy/dump.c;1;1;1;ROOT;1;305
src/irc/proxy/dump.c;1;1;1;artifact;1;304
src/irc/proxy/listen.c;1;1;1;ROOT;1;876
src/irc/proxy/listen.c;1;1;1;artifact;1;875
src/irc/proxy/module.h;1;1;1;ROOT;1;28
src/irc/proxy/module.h;1;1;1;artifact;1;27
src/irc/proxy/proxy.c;1;1;1;ROOT;1;118
src/irc/proxy/proxy.c;1;1;1;artifact;1;117
src/irc/proxy/proxy.h;1;1;1;ROOT;1;38
src/irc/proxy/proxy.h;1;!IRSSI_IRC_PROXY_PROXY_H;1 && !IRSSI_IRC_PROXY_PROXY_H;if;1;1
src/irc/proxy/proxy.h;1;!IRSSI_IRC_PROXY_PROXY_H;1 && !IRSSI_IRC_PROXY_PROXY_H;artifact;2;35
src/irc/proxy/proxy.h;1;!IRSSI_IRC_PROXY_PROXY_H;1 && !IRSSI_IRC_PROXY_PROXY_H;endif;36;36
src/irc/proxy/proxy.h;1;1;1;artifact;37;37
src/lib-config/get.c;1;1;1;ROOT;1;344
src/lib-config/get.c;1;1;1;artifact;1;343
src/lib-config/iconfig.h;1;1;1;ROOT;1;162
src/lib-config/iconfig.h;1;!IRSSI_LIB_CONFIG_ICONFIG_H;1 && !IRSSI_LIB_CONFIG_ICONFIG_H;if;1;1
src/lib-config/iconfig.h;1;!IRSSI_LIB_CONFIG_ICONFIG_H;1 && !IRSSI_LIB_CONFIG_ICONFIG_H;artifact;2;159
