dataset,precision#3,precision#5,precision#7,recall#3,recall#5,recall#7,f1#3,f1#5,f1#7
ArgoUML,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Berkeley DB,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.014
BusyBox,0.0,0.0,0.003,1.0,1.0,1.0,0.0,0.0,0.152
Dia,0.0,0.0,0.001,1.0,1.0,1.0,0.0,0.0,0.092
Apache HTTP,0.0,0.0,0.005,1.0,1.0,1.0,0.0,0.0,0.156
Irssi,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.035
LibSSH,0.0,0.0,0.001,1.0,1.0,1.0,0.0,0.003,0.005
OpenVPN,0.0,0.0,0.001,1.0,1.0,1.0,0.0,0.0,0.056
Vim,0.0,0.0,0.355,1.0,1.0,1.0,0.0,0.001,0.885
