dataset,metric,number_of_variants,mistake_type,shapiro,ttest,wilcoxon
Apache HTTP,precision,5,ErroneousConjunction,0.0,0.0,0.0
Apache HTTP,precision,5,SwappedFeature,0.0,0.001,0.0
Apache HTTP,precision,7,SwappedCondition,0.0,0.034,0.005
Apache HTTP,precision,7,ErroneousConjunction,0.0,0.005,0.0
Apache HTTP,precision,7,SwappedFeature,0.002,0.02,0.026
Irssi,f1,3,SwappedCondition,0.0,0.0,0.0
Irssi,f1,3,ErroneousConjunction,0.273,0.0,0.0
Irssi,f1,3,SwappedFeature,0.031,0.0,0.0
Irssi,f1,5,SwappedCondition,0.0,0.001,0.0
Irssi,f1,5,ErroneousConjunction,0.009,0.0,0.0
Irssi,f1,5,SwappedFeature,0.051,0.0,0.0
Irssi,f1,7,SwappedCondition,0.277,0.064,0.035
Irssi,f1,7,ErroneousConjunction,0.008,0.001,0.0
Irssi,f1,7,SwappedFeature,0.045,0.0,0.0
Irssi,precision,3,SwappedCondition,0.0,0.0,0.0
Irssi,precision,3,ErroneousConjunction,0.001,0.0,0.0
Irssi,precision,3,SwappedFeature,0.001,0.0,0.0
Irssi,precision,5,SwappedCondition,0.125,0.0,0.0
Irssi,precision,5,ErroneousConjunction,0.0,0.0,0.0
Irssi,precision,5,SwappedFeature,0.006,0.0,0.0
Irssi,precision,7,SwappedCondition,0.336,0.0,0.0
Irssi,precision,7,ErroneousConjunction,0.004,0.0,0.0
Irssi,precision,7,SwappedFeature,0.003,0.0,0.0
LibSSH,f1,3,SwappedCondition,0.0,0.002,0.0
LibSSH,f1,3,ErroneousConjunction,0.0,0.0,0.0
LibSSH,f1,3,SwappedFeature,0.0,0.003,0.0
LibSSH,f1,5,SwappedCondition,0.008,0.006,0.003
LibSSH,f1,5,ErroneousConjunction,0.0,0.003,0.0
LibSSH,f1,5,SwappedFeature,0.0,0.001,0.0
LibSSH,f1,7,SwappedCondition,0.0,0.083,0.005
LibSSH,f1,7,ErroneousConjunction,0.0,0.048,0.001
LibSSH,f1,7,SwappedFeature,0.0,0.039,0.002
LibSSH,precision,3,SwappedCondition,0.0,0.002,0.0
LibSSH,precision,3,ErroneousConjunction,0.0,0.0,0.0
LibSSH,precision,3,SwappedFeature,0.0,0.0,0.0
LibSSH,precision,5,SwappedCondition,0.002,0.0,0.0
LibSSH,precision,5,ErroneousConjunction,0.0,0.001,0.0
LibSSH,precision,5,SwappedFeature,0.0,0.0,0.0
LibSSH,precision,7,SwappedCondition,0.0,0.013,0.001
LibSSH,precision,7,ErroneousConjunction,0.0,0.0,0.0
LibSSH,precision,7,SwappedFeature,0.0,0.006,0.001
OpenVPN,f1,3,SwappedCondition,0.0,0.0,0.0
OpenVPN,f1,3,ErroneousConjunction,0.0,0.0,0.0
OpenVPN,f1,3,SwappedFeature,0.0,0.0,0.0
OpenVPN,f1,5,SwappedCondition,0.0,0.04,0.0
