dataset,precision#3,precision#5,precision#7,recall#3,recall#5,recall#7,f1#3,f1#5,f1#7
ArgoUML,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Berkeley DB,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
BusyBox,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.219
Dia,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Apache HTTP,0.0,0.0,0.026,1.0,1.0,1.0,0.0,0.0,0.414
Irssi,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
LibSSH,0.0,0.0,0.001,1.0,1.0,1.0,0.0,0.0,0.002
OpenVPN,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.002,0.045
Vim,0.0,0.0,0.005,1.0,1.0,1.0,0.0,0.001,0.338
